full_name,rank_division,ag_rank,nation,age_group
Name,Rank,Rank,,Nat
"刘, 海康",146,–,CHN,Nat
"宋, 特为",147,11,CHN,Nat
"陈, 天琛",148,34,CHN,Nat
"马, 强强",149,35,CHN,Nat
", Rich",150,36,RSA,Nat
"刘, 秉枘",151,37,CHN,Nat
"袁, 骏骅",152,49,CHN,Nat
"Yip, Henry",153,5,HKG,Nat
"柯, 毅烽",154,35,CHN,Nat
"刘, 文博",155,36,CHN,Nat
"Singh, Ratish",156,6,FIJ,Nat
"蒋, 顺渝",157,50,CHN,Nat
"康, 小艺",158,2,CHN,Nat
"袁, 保华",159,37,CHN,Nat
"Poch, Froilan",160,1,ESP,Nat
"郭, 英男",161,51,CHN,Nat
", HWANGJUNGHYUN",162,52,KOR,Nat
"Geoffrey, TASTEVIN",163,53,FRA,Nat
"叶, 俊德",164,38,IND,Nat
"吴, 飞强",165,7,CHN,Nat
"赵, 旭超",166,38,CHN,Nat
"张, 硕",167,39,CHN,Nat
"袁, 一凡",168,39,CHN,Nat
"徐, 冬青",169,16,CHN,Nat
"戴, 鑫",170,40,CHN,Nat
"张, 福远",171,40,CHN,Nat
"谷, 俊学",172,41,CHN,Nat
"危, 凯",173,41,CHN,Nat
"Mansfield, Jonathan",174,8,AUS,Nat
"施, 民强",175,42,CHN,Nat
"杨, 鲁杰",176,12,CHN,Nat
"金, 唯杰",177,17,CHN,Nat
"陈, 佩翔",178,54,CHN,Nat
"赵, 亚东",179,43,CHN,Nat
